# Human experiment data sheet - Phase 2.
# One row per pair per round. Delete these comment lines if your spreadsheet
# program cannot handle them; the loader ignores lines starting with #.
#
# pair            pair id, e.g. P01
# round           1..10
# choice_a        C or D  (player A's secret choice that round)
# choice_b        C or D  (player B's secret choice that round)
# trust_before_*  optional 1-5: "how likely is your opponent to cooperate?"
# trust_after_*   optional 1-5: "how much did you trust your opponent?"
#
# Payoffs are recomputed from the choices, so you do not need to enter them.
pair,round,choice_a,choice_b,trust_before_a,trust_before_b,trust_after_a,trust_after_b
P01,1,,,,,,
P01,2,,,,,,
P01,3,,,,,,
P01,4,,,,,,
P01,5,,,,,,
P01,6,,,,,,
P01,7,,,,,,
P01,8,,,,,,
P01,9,,,,,,
P01,10,,,,,,
