# SYNTHETIC DEMO DATA - generated by scripts/make_synthetic_demo.py
# Not real participants. Do not report these numbers as results.
pair,round,choice_a,choice_b,trust_before_a,trust_before_b,trust_after_a,trust_after_b
P01,1,D,C,2,2,3,3
P01,2,C,D,2,2,3,3
P01,3,D,C,2,2,3,3
P01,4,C,D,2,2,3,3
P01,5,D,C,2,2,3,3
P01,6,C,D,2,2,3,3
P01,7,D,D,2,2,3,3
P01,8,C,D,2,2,3,3
P01,9,D,C,2,2,3,3
P01,10,D,D,2,2,3,3
P02,1,C,C,4,3,3,3
P02,2,C,C,4,3,3,3
P02,3,D,C,4,3,3,3
P02,4,C,D,4,3,3,3
P02,5,D,D,4,3,3,3
P02,6,D,D,4,3,3,3
P02,7,D,C,4,3,3,3
P02,8,C,D,4,3,3,3
P02,9,D,C,4,3,3,3
P02,10,D,D,4,3,3,3
P03,1,C,C,2,2,2,3
P03,2,C,D,2,2,2,3
P03,3,D,D,2,2,2,3
P03,4,C,D,2,2,2,3
P03,5,D,D,2,2,2,3
P03,6,D,D,2,2,2,3
P03,7,D,D,2,2,2,3
P03,8,C,C,2,2,2,3
P03,9,C,D,2,2,2,3
P03,10,D,D,2,2,2,3
P04,1,D,D,5,4,2,2
P04,2,D,D,5,4,2,2
P04,3,D,D,5,4,2,2
P04,4,D,C,5,4,2,2
P04,5,C,D,5,4,2,2
P04,6,D,D,5,4,2,2
P04,7,D,C,5,4,2,2
P04,8,C,D,5,4,2,2
P04,9,D,C,5,4,2,2
P04,10,D,D,5,4,2,2
P05,1,C,C,5,3,3,4
P05,2,C,C,5,3,3,4
P05,3,C,C,5,3,3,4
P05,4,C,C,5,3,3,4
P05,5,C,C,5,3,3,4
P05,6,C,D,5,3,3,4
P05,7,D,C,5,3,3,4
P05,8,C,D,5,3,3,4
P05,9,C,D,5,3,3,4
P05,10,D,D,5,3,3,4
P06,1,C,D,5,5,4,4
P06,2,C,C,5,5,4,4
P06,3,C,C,5,5,4,4
P06,4,C,C,5,5,4,4
P06,5,C,C,5,5,4,4
P06,6,C,C,5,5,4,4
P06,7,C,D,5,5,4,4
P06,8,D,C,5,5,4,4
P06,9,C,D,5,5,4,4
P06,10,D,C,5,5,4,4
P07,1,C,C,5,5,4,3
P07,2,C,C,5,5,4,3
P07,3,C,C,5,5,4,3
P07,4,C,C,5,5,4,3
P07,5,D,C,5,5,4,3
P07,6,C,D,5,5,4,3
P07,7,C,C,5,5,4,3
P07,8,D,C,5,5,4,3
P07,9,D,D,5,5,4,3
P07,10,D,D,5,5,4,3
P08,1,C,D,4,3,2,3
P08,2,D,C,4,3,2,3
P08,3,C,D,4,3,2,3
P08,4,D,C,4,3,2,3
P08,5,C,D,4,3,2,3
P08,6,D,D,4,3,2,3
P08,7,D,C,4,3,2,3
P08,8,C,D,4,3,2,3
P08,9,D,D,4,3,2,3
P08,10,D,D,4,3,2,3
P09,1,C,D,5,3,1,2
P09,2,D,D,5,3,1,2
P09,3,C,D,5,3,1,2
P09,4,D,D,5,3,1,2
P09,5,D,C,5,3,1,2
P09,6,C,D,5,3,1,2
P09,7,D,D,5,3,1,2
P09,8,D,D,5,3,1,2
P09,9,D,D,5,3,1,2
P09,10,D,D,5,3,1,2
P10,1,D,C,3,3,2,3
P10,2,C,D,3,3,2,3
P10,3,D,D,3,3,2,3
P10,4,D,D,3,3,2,3
P10,5,D,C,3,3,2,3
P10,6,C,C,3,3,2,3
P10,7,C,D,3,3,2,3
P10,8,C,D,3,3,2,3
P10,9,D,D,3,3,2,3
P10,10,D,D,3,3,2,3
