repeat,strategy,opponent,rounds,score,opponent_score,cooperation_rate
1,AC,AD,100,0,500,1.0
1,AD,AC,100,500,0,0.0
1,AC,TFT,100,300,300,1.0
1,TFT,AC,100,300,300,1.0
1,AC,GT,100,300,300,1.0
1,GT,AC,100,300,300,1.0
1,AC,TF2T,100,300,300,1.0
1,TF2T,AC,100,300,300,1.0
1,AC,RAND,100,150,400,1.0
1,RAND,AC,100,400,150,0.5
1,AD,TFT,100,104,99,0.0
1,TFT,AD,100,99,104,0.01
1,AD,GT,100,104,99,0.0
1,GT,AD,100,99,104,0.01
1,AD,TF2T,100,108,98,0.0
1,TF2T,AD,100,98,108,0.02
1,AD,RAND,100,312,47,0.0
1,RAND,AD,100,47,312,0.53
1,TFT,GT,100,300,300,1.0
1,GT,TFT,100,300,300,1.0
1,TFT,TF2T,100,300,300,1.0
1,TF2T,TFT,100,300,300,1.0
1,TFT,RAND,100,220,225,0.49
1,RAND,TFT,100,225,220,0.48
1,GT,TF2T,100,300,300,1.0
1,TF2T,GT,100,300,300,1.0
1,GT,RAND,100,283,58,0.01
1,RAND,GT,100,58,283,0.46
1,TF2T,RAND,100,194,289,0.7
1,RAND,TF2T,100,289,194,0.51
